mol_name,true,pred,confidence,p_true,correct
acetylene,C_alkyne,C_ester_carbonyl,0.7600132822990417,8.187478670151904e-06,False
benzene,C_aromatic,C_aromatic,0.9852948188781738,0.9852948188781738,True
cyclobutane,C_methylene,C_aromatic,0.9426762461662292,3.908753285486455e-07,False
cyclopropane,C_methylene,C_aromatic,0.8284843564033508,3.195928002241999e-07,False
ethane,C_methyl,C_ester_carbonyl,0.6164818406105042,0.0018260673386976123,False
ethylene,C_vinyl,C_isocyanate,0.44027015566825867,0.00016764903557486832,False
formaldehyde,C_aldehyde,C_aromatic,0.7937395572662354,1.4279630811131483e-09,False
formamide,C_amide_carbonyl,C_aromatic,0.5857913494110107,3.6232737329555675e-05,False
methane,C_methyl,C_ester_carbonyl,0.47680121660232544,0.0015659984201192856,False
tetrafluoromethane,C_fluorinated,C_aromatic,0.690689206123352,0.00023510653409175575,False
